,interval_from,interval_to,default_NO2_min,default_NO2_max,default_NO2_mean,default_NO2_stDev,default_NO2_sampleCount,default_NO2_noDataCount,year,month
0,2020-01-07,2020-01-08,2.6257033823640086e-05,2.6257033823640086e-05,2.6257033823640086e-05,0.0,1,0,2020,1
1,2020-01-12,2020-01-13,4.412851922097616e-05,4.412851922097616e-05,4.412851922097616e-05,0.0,1,0,2020,1
2,2020-01-13,2020-01-14,9.891510671877768e-06,9.891510671877768e-06,9.891510671877768e-06,0.0,1,0,2020,1
3,2020-01-18,2020-01-19,1.9524944946169853e-05,1.9524944946169853e-05,1.9524944946169853e-05,0.0,1,0,2020,1
4,2020-01-28,2020-01-29,1.912895095301792e-05,1.912895095301792e-05,1.912895095301792e-05,0.0,1,0,2020,1
5,2020-02-13,2020-02-14,1.6074132872745395e-05,1.6074132872745395e-05,1.6074132872745395e-05,0.0,1,0,2020,2
6,2020-02-14,2020-02-15,1.725061156321317e-05,1.725061156321317e-05,1.725061156321317e-05,0.0,1,0,2020,2
7,2020-02-19,2020-02-20,1.5813096979400143e-05,1.5813096979400143e-05,1.5813096979400143e-05,0.0,1,0,2020,2
8,2020-02-29,2020-03-01,3.206626570317894e-05,3.206626570317894e-05,3.206626570317894e-05,0.0,1,0,2020,2
9,2020-03-01,2020-03-02,5.5162083299364895e-05,5.5162083299364895e-05,5.5162083299364895e-05,0.0,1,0,2020,3
10,2020-03-11,2020-03-12,4.894649828202091e-05,4.894649828202091e-05,4.894649828202091e-05,0.0,1,0,2020,3
11,2020-03-16,2020-03-17,4.0725499275140464e-05,4.0725499275140464e-05,4.0725499275140464e-05,0.0,1,0,2020,3
12,2020-03-17,2020-03-18,2.7769030566560104e-05,2.7769030566560104e-05,2.7769030566560104e-05,0.0,1,0,2020,3
13,2020-03-22,2020-03-23,3.484645640128292e-05,3.484645640128292e-05,3.484645640128292e-05,0.0,1,0,2020,3
14,2020-03-27,2020-03-28,3.260580342612229e-05,3.260580342612229e-05,3.260580342612229e-05,0.0,1,0,2020,3
15,2020-04-01,2020-04-02,4.7854118747636676e-05,4.7854118747636676e-05,4.7854118747636676e-05,0.0,1,0,2020,4
16,2020-04-02,2020-04-03,2.54802707786439e-05,2.54802707786439e-05,2.54802707786439e-05,0.0,1,0,2020,4
17,2020-04-07,2020-04-08,1.1259431630605832e-05,1.1259431630605832e-05,1.1259431630605832e-05,0.0,1,0,2020,4
18,2020-04-12,2020-04-13,2.089668851112947e-05,2.089668851112947e-05,2.089668851112947e-05,0.0,1,0,2020,4
19,2020-04-17,2020-04-18,6.642359949182719e-06,6.642359949182719e-06,6.642359949182719e-06,0.0,1,0,2020,4
20,2020-04-18,2020-04-19,4.348753282101825e-05,4.348753282101825e-05,4.348753282101825e-05,0.0,1,0,2020,4
21,2020-04-23,2020-04-24,3.024876605195459e-05,3.024876605195459e-05,3.024876605195459e-05,0.0,1,0,2020,4
22,2020-04-28,2020-04-29,2.0575866074068472e-05,2.0575866074068472e-05,2.0575866074068472e-05,0.0,1,0,2020,4
23,2020-05-03,2020-05-04,3.1020910682855174e-05,3.1020910682855174e-05,3.1020910682855174e-05,0.0,1,0,2020,5
24,2020-05-04,2020-05-05,2.8134747481090017e-05,2.8134747481090017e-05,2.8134747481090017e-05,0.0,1,0,2020,5
25,2020-05-09,2020-05-10,2.629220580274705e-05,2.629220580274705e-05,2.629220580274705e-05,0.0,1,0,2020,5
26,2020-05-14,2020-05-15,3.809720146819018e-05,3.809720146819018e-05,3.809720146819018e-05,0.0,1,0,2020,5
27,2020-05-25,2020-05-26,3.651561928563751e-05,3.651561928563751e-05,3.651561928563751e-05,0.0,1,0,2020,5
28,2020-05-30,2020-05-31,1.4895844287821092e-05,1.4895844287821092e-05,1.4895844287821092e-05,0.0,1,0,2020,5
29,2020-06-05,2020-06-06,5.5081462051020935e-05,5.5081462051020935e-05,5.5081462051020935e-05,0.0,1,0,2020,6
